source,target,msg
#baptistao,alvgm,lo que decia ibai es que por que se habia ido elmillor a andorra si no llega a 4k subs
#ricoy23,ruusoo_,pa andorra
#ricoy23,tyraelthenoob,Especial andorra?
#esvandal,jesuszero150,cosas de andorras
#mangel,diannav,@pisito_en_andorra gracias mi reina te quiero dvdcdzCry dvdcdzCry
#elxokas,jiiac21,Tributas en andorra me han dicho
#mangel,diannav,@pisito_en_andorra maxoL maxoL
#aroyitt,robilbasso,ya te veo infiltrandote en el cuarto de lely en andorra mientras streamea y le trolleas
#jelty,chikitapro25,si te vas a Andorra jelty?
#jelty,borjaofx,ya enserio JELTY se va andorra ????????
#jelty,rogelio_casillas,Te vas a ir a Andorra?
#jelty,summittemp,O Ping en Andorra?
#aroyitt,jimenagrc,aro cuando van a andorra?
#criper,zlfuzionn__,hablemos de andorra kappa
#baptistao,estebanv777,baptistao que opinas de Andorra?? harias lo mismo que willy, rubius, etc??
#mangel,nanissssssssss,pa andorra
#aroyitt,jimenagrc,aro cuando vas a andorra?
#jelty,flitoogamer,Jelty Andorra?
#gustavocsgoyt,x6phx,en Andorra Okayge
#jelty,lilpigss,andorra
#jelty,flitoogamer,Andorra?
#jelty,g4nge,andorra
#jelty,nasa_senpai,andorra
#gustavocsgoyt,equatrii,Nos vamos a andorra a vivir ? HE
#ricoy23,manulcoba,a andorra
#ricoy23,el__gordo__valor,sale andorra
#ricoy23,sky_edu,a mudarse a Andorra
#ricoy23,xmicaelgamerx,andorra te espera con los brazos abierto tieso jeje
#ricoy23,isagomezc,a Andorra unos añitos? lo mejor para ricolinooo
#ricoy23,rafelet,@ricoy23 to go Andorra?? jajaja
#ricoy23,vulkantgn_atopedepawer,Pos te vas Andorra y arreando
#ricoy23,recaldeluis7495,alguien te mira desde andorra
#ricoy23,rober_27,Andorra te pilla lejitos de Cádiz es lo malo
#ricoy23,painvz1702,dios esta desde andorra mandadote buenos deseos
#ricoy23,tulazosensio,pronto te veremos por andorra
#ricoy23,pelotoking,Ricoy no se va a Andorra, Ricoy se va a Gibraltar chavales jjjjj
#ricoy23,elgringoargfs,Andorra de una
#ricoy23,recaldeluis7495,!andorra
#ricoy23,elgringoargfs,De una andorra
#ricoy23,miisiifuu,Sera ricoy el muevo andorrano?
#ricoy23,aitorkel,Yo vivo en Andorra y te digo quédate en Cádiz pisha
#ricoy23,srjubba,ricoy el futuro Andorrano me dicen por ahi
#esvandal,jorguealonso,vandal y tu para cuando te mudas a andorra? xd
#ricoy23,angeldark128,@ricoy23 chavales me voi mañana a andorra quien se viene
#mangel,willwool22,APARTAMENTO EN ANDORRA BE LIKE
#ricoy23,rodode1,que se come en andorra???
#ricoy23,migue7275,te mudarse a andorra
#ricoy23,sky_edu,en par de meses, luego a Andorra
#ricoy23,zthundeer_,#2022GoToAndorra xd
#ricoy23,djosecampos,Te mudarias a Andorra?
#ricoy23,angeldark128,@ricoy23 que pasa que en andorra solo hay tios? donde estan las chicas andorranas?
#ricoy23,ptakin,No comparto la idea de irse a Andorra, estoy de acuerdo con lo que dijo Ibai al respecto.
#mangel,matiaas_ac,@pisito_en_andorra popin alexbyUwu
#ricoy23,pumasso,el chiringuito de jugones se rueda en andorra, asi tienen la nieve al lado
#ricoy23,robeeeeerto,Yo trabajo en Andorra los inviernos, así que si te vas alguna vez por allá te invito a esquiar tieso, saludos desde chile 🇨🇱
#mangel,wanderdisolation,@pisito_en_andorra que bonito es ver al mangorolo de nuevo BibleThump
#guanyar,bylxpez,rubius en high por andorra
#igestark,benja__10_,aeeiba andorra
#mangel,postioli22,@pisito_en_andorra Afro jamonjMangelsalmoo
#ricoy23,varolcd,Pa Andorra
#mangel,lily_winteer,@pisito_en_andorra same
#guanyar,sergincda,rubius rotando a Andorra
#ricoy23,joape2013,en 3 meses para andorra
#ricoy23,giancarlorosetevalente,te faltan 9 para ya irte a andorra
#ricoy23,recaldeluis7495,siguiente parada andorra
#ricoy23,hefes7o,Comprate un barco para ir a andorra
#guanyar,bylxpez,rubius en high por andorra
#ricoy23,joshkingmc,se vienen las tieso aventuras en andorra
#ricoy23,nappylol,irte a andorra
#ricoy23,elabor_tado,asi en 1 mes a andorra
#ricoy23,zthundeer_,ahorrar pa andorra xd
#guanyar,luisreca25,rubius en andorra
#guanyar,geeriixfn_,RUBIUS ROTANDO A ANDORRA
#ricoy23,gdr18_03buttler,guardar pa ir a andorra
#guanyar,luisreca25,rubius rotando a andorra
#ricoy23,tzintzentido,Pa Andorra??? ajajja
